page_id,page_title,view_count,protection_level,protection_expiry,page_length,page_id_scrapped,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
36190269,Chang'e 5,437750,unprotected,,36962,36190269,80,20,2,3512,633,6,3,12
516027,Kirby's Dream Land,651636,unprotected,,26569,516027,61,9,7,6861,841,6,4,12
21474139,Niihari Station,5273,unprotected,,3194,21474139,25,14,0,15,16,0,0,13
17086587,Shirley Clay,8250,unprotected,,1518,17086587,25,14,1,21,17,0,0,13
1475011,Ramshar,7659,unprotected,,3648,1475011,25,14,0,18,20,0,0,13
28320988,George Frederick Nott,4151,unprotected,,4786,28320988,25,14,1,10,26,0,0,13
3793732,Knut Berger,16539,unprotected,,1156,3793732,25,14,0,139,28,0,0,13
47113428,Ken LaZebnik,10679,unprotected,,21268,47113428,25,14,1,45,28,0,0,13
42553171,Victor On-kwok Li,7906,unprotected,,3887,42553171,25,14,1,39,37,0,0,13
30408047,David Straiton,47433,unprotected,,2814,30408047,25,14,1,313,38,0,0,13
6701680,Novedrate,14822,unprotected,,5171,6701680,25,14,0,71,40,0,0,13
32102180,Kanpur railway station,15571,unprotected,,2410,32102180,25,14,2,177,40,0,0,13
37814521,Morris Industrial School for Indians,13331,unprotected,,14562,37814521,25,14,1,363,41,0,0,13
16876985,Charles Ignatius White,5232,unprotected,,2687,16876985,25,14,1,21,41,0,0,13
15899753,Chevenon,7015,unprotected,,1781,15899753,25,14,0,7,42,0,0,13
23093273,Walter Balcanquhall,9368,unprotected,,4496,23093273,25,14,4,25,42,0,0,13
32646297,Jeffrey R. Di Leo,6639,unprotected,,7209,32646297,25,14,1,21,45,0,0,13
9250083,Raghu Ramakrishnan,35422,unprotected,,3331,9250083,25,14,0,199,48,0,0,13
6228433,William Engvick,14057,unprotected,,2093,6228433,25,14,2,81,48,0,0,13
37684051,Terri Brisbin,9311,unprotected,,5527,37684051,25,14,1,38,48,0,0,13
8080191,Nicolas Neufchatel,9306,unprotected,,2015,8080191,25,14,2,37,50,0,0,13
15435318,Verdun-en-Lauragais,6601,unprotected,,1778,15435318,25,14,0,17,53,0,0,13
3601607,Beady Belle,41467,unprotected,,4570,3601607,25,14,0,202,56,0,0,13
22538399,Taha Abdul-Basser,12463,unprotected,,10773,22538399,25,14,1,57,62,0,0,13
33528908,Andrea Zaki,9749,unprotected,,5811,33528908,25,14,3,33,62,0,0,13
20293284,Josephina (road),11734,unprotected,,4831,20293284,25,14,2,97,66,0,0,13
37254151,Harrington Mann,18730,unprotected,,9516,37254151,25,14,0,153,69,0,0,13
45516978,The Day Is My Enemy (song),46843,unprotected,,3886,45516978,25,14,0,297,71,0,0,13
23922733,John Taintor Foote,11055,unprotected,,2618,23922733,25,14,0,115,71,0,0,13
26667829,Andreas Karasiak,9372,unprotected,,10957,26667829,25,14,1,21,74,0,0,13
6940318,Pascale Montpetit,18984,unprotected,,1176,6940318,25,14,0,93,77,0,0,13
15567971,Altagène,8120,unprotected,,9447,15567971,25,14,1,22,78,0,0,13
7195102,Paulo Flores,32849,unprotected,,3380,7195102,25,14,0,198,79,0,0,13
15366126,Christopher Kubasik,23301,unprotected,,3987,15366126,25,14,1,178,81,0,0,13
11543223,George H. Utter,17829,unprotected,,5869,11543223,25,14,2,55,85,0,0,13
1020445,Sunthorn Kongsompong,30223,unprotected,,4584,1020445,25,14,2,250,87,0,0,13
14652729,Diamond (Spandau Ballet album),125757,unprotected,,7758,14652729,25,14,0,1898,87,0,0,13
17256437,Yaron London,26380,unprotected,,7325,17256437,25,14,1,158,98,0,0,13
4771662,Lehrte,49795,unprotected,,5105,4771662,25,14,1,447,99,0,0,13
24936529,Pimpinela,224893,unprotected,,4866,24936529,25,14,0,3305,102,0,0,13
3835621,Joachim Hayward Stocqueler,10385,unprotected,,16244,3835621,25,14,1,46,103,0,0,13
5989194,Ion Jalea,12756,unprotected,,12075,5989194,25,14,0,141,115,0,0,13
1708818,Marie Stubbs,22105,unprotected,,5069,1708818,25,14,1,141,118,0,0,13
2341461,Dominic Dromgoole,49408,unprotected,,10746,2341461,25,14,5,492,119,0,0,13
736663,"Sir William Brereton, 1st Baronet",30355,unprotected,,17337,736663,25,14,1,334,122,0,0,13
9370791,Sugith Varughese,113540,unprotected,,7554,9370791,25,14,0,2969,123,0,0,13
106684,"Dilkon, Arizona",24689,unprotected,,16902,106684,25,14,2,246,125,0,0,13
4304857,Simon Lyndon,53882,unprotected,,5925,4304857,25,14,0,893,131,0,0,13
3595392,"John III, Duke of Bavaria",47084,unprotected,,4986,3595392,25,14,11,484,135,0,0,13
1178637,Sol M. Wurtzel,28520,unprotected,,7798,1178637,25,14,3,227,144,0,0,13
3042031,"Inglewood, Victoria",45038,unprotected,,10363,3042031,25,14,0,490,153,0,0,13
3206371,Twice the Speed of Life,72522,unprotected,,10656,3206371,25,14,0,603,156,0,0,13
1134439,Ian Irvine,53750,unprotected,,11015,1134439,25,14,1,476,169,0,0,13
3462340,The Prodigal (Angel),43780,unprotected,,9918,3462340,25,14,1,321,173,0,0,13
4158,Bill Atkinson,254722,unprotected,,6951,4158,42,4,0,2314,186,0,0,13
837699,William Henry Moody,109845,unprotected,,11834,837699,25,14,3,900,190,0,0,13
2351541,Eugene Von Bruenchenhein,33356,unprotected,,16811,2351541,25,14,0,291,196,0,0,13
1043063,Angel Mounds,130123,unprotected,,48595,1043063,39,5,2,959,323,0,0,13
330463,Channel Islands National Park,349450,unprotected,,30614,330463,50,11,1,3585,424,0,0,13
43842849,Aude (writer),8735,unprotected,,4123,43842849,25,14,2,17,42,1,1,13
3637842,Livingston North railway station,21799,unprotected,,9389,3637842,25,14,2,170,189,1,1,13
2884143,Martin Gottfried Weiss,222843,unprotected,,10950,2884143,25,14,2,2900,192,1,1,13
202741,Violin Concerto (Beethoven),282349,unprotected,,15362,202741,46,8,11,2785,377,1,1,13
8893201,Utica High School (Michigan),25949,unprotected,,5022,8893201,25,14,0,151,409,1,1,13
312358,Saffron Walden,427721,unprotected,,44273,312358,46,7,4,6801,930,1,1,13
1075686,United States labor law,783577,unprotected,,296530,1075686,85,7,12,3333,976,1,1,13
577779,Chris Kattan,3408168,unprotected,,15251,577779,82,9,2,114270,1062,1,1,13
5348831,San Lorenzo Nuovo,17112,unprotected,,32848,5348831,25,14,1,71,1211,1,1,13
2888063,Influenza pandemic,1659864,unprotected,,106801,2888063,146,7,27,13705,1300,1,1,13
13141492,Eric Berry,2079970,unprotected,,58998,13141492,48,10,1,16405,1818,1,1,13
35093844,Kateřina Winterová,17720,unprotected,,4426,35093844,25,14,1,78,51,2,2,13
33391080,Ye'kuana language,22300,unprotected,,25704,33391080,25,14,15,218,70,2,2,13
13507661,Robert J. McMahon,31751,unprotected,,11088,13507661,25,14,1,139,79,2,1,13
13569598,Isadore Bernstein,9404,unprotected,,3276,13569598,25,14,3,42,81,2,1,13
2594435,8 Women,365594,unprotected,,24561,2594435,25,14,6,3509,258,2,2,13
2301662,Alan Silva,52371,unprotected,,12878,2301662,25,14,0,358,179,3,2,13
889697,U.S. Route 98,126122,unprotected,,14395,889697,25,14,29,1383,230,3,2,13
3874841,"""Polish death camp"" controversy",407727,extendedconfirmed, infinity,55464,3874841,143,15,15,2545,2028,3,1,13
1696562,City Boy (band),182824,unprotected,,15052,1696562,25,14,2,2989,284,5,3,13
437338,Al-Walid I,397427,unprotected,,34344,437338,53,6,4,11630,594,5,2,13
4095564,Lucas di Grassi,297115,unprotected,,151571,4095564,30,5,1,7222,981,5,3,13
61629,1966 FIFA World Cup,3617885,unprotected,,46612,61629,109,25,11,33378,2680,7,5,13
36560852,Billy Eichner,5855986,autoconfirmed, 2021-08-18T01:18:23Z,23405,36560852,93,24,0,59749,665,44,38,13
36118498,Klaus Matthes,7441,unprotected,,6442,36118498,25,14,0,20,18,0,0,14
4801065,Sylvester Maurus,7367,unprotected,,2234,4801065,25,14,1,33,20,0,0,14
43265157,Pelham Edgar,8068,unprotected,,17623,43265157,25,14,0,27,22,0,0,14
46809072,Mario Amura,7287,unprotected,,7495,46809072,25,14,0,7,29,0,0,14
15307056,Chaim Madar,10652,unprotected,,1612,15307056,25,14,0,69,33,0,0,14
26624883,Alain Levent,7801,unprotected,,1596,26624883,25,14,0,70,33,0,0,14
50222102,Nikolaus Hillebrand,6812,unprotected,,6145,50222102,25,14,0,31,36,0,0,14
3199047,Jussi Chydenius,14404,unprotected,,2271,3199047,25,14,0,58,39,0,0,14
14895617,R. A. Foakes,20970,unprotected,,2754,14895617,25,14,5,31,40,0,0,14
48210447,Mulla Hamzah Gilani,5228,unprotected,,2422,48210447,25,14,1,14,42,0,0,14
2173397,Johann August Georg Edmund Mojsisovics von Mojsvar,7151,unprotected,,2478,2173397,25,14,2,34,43,0,0,14
30020247,Glen MacPherson,32463,unprotected,,4411,30020247,25,14,0,499,44,0,0,14
10549389,Moncef Guitouni,4556,unprotected,,2988,10549389,25,14,1,9,45,0,0,14
6388628,Joseph Finnemore,6508,unprotected,,7250,6388628,25,14,1,11,47,0,0,14
7708438,Ian Macpherson (novelist),10098,unprotected,,2962,7708438,25,14,0,53,54,0,0,14
19521418,Solar Power International,16119,unprotected,,6076,19521418,25,14,0,46,56,0,0,14
47418914,Greg Steinmetz,12747,unprotected,,3919,47418914,25,14,0,125,56,0,0,14
30234000,Timothy James Webb,11428,unprotected,,8862,30234000,25,14,1,46,57,0,0,14
15435167,Saint-Martin-des-Puits,7760,unprotected,,2183,15435167,25,14,0,12,58,0,0,14
27103942,Hans Horst Meyer,17238,unprotected,,8700,27103942,25,14,0,112,59,0,0,14
8031768,Laryssa Lauret,34806,unprotected,,2237,8031768,25,14,0,221,61,0,0,14
10157658,Valiyavila,8837,unprotected,,6212,10157658,25,14,0,80,62,0,0,14
14830253,Rosporden,13739,unprotected,,2483,14830253,25,14,0,74,62,0,0,14
15308089,"Berlancourt, Aisne",7752,unprotected,,2018,15308089,25,14,0,14,68,0,0,14
11243617,Paolo Veneziano,29106,unprotected,,5864,11243617,25,14,2,336,70,0,0,14
15439395,Kesseldorf,10707,unprotected,,4501,15439395,25,14,0,22,72,0,0,14
12037702,Ana Mariscal,14565,unprotected,,10686,12037702,25,14,0,85,73,0,0,14
11892654,Hokuriku Expressway,29000,unprotected,,26510,11892654,25,14,0,187,86,0,0,14
30481677,N. G. Vartak High School,17615,unprotected,,12189,30481677,25,14,0,155,87,0,0,14
2652518,Jack Cady,17405,unprotected,,5440,2652518,25,14,0,108,91,0,0,14
2941977,Ainhice-Mongelos,13210,unprotected,,14678,2941977,25,14,2,24,92,0,0,14
