page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories,protection_expiry,protection_expiry_date,protection_expiry_time,protection_duration_days,timestamp,protection_expiry_flag
33547618,1879 in Germany,15848,autoconfirmed,,40548,37,6,3,5940,1641,8,6,4, 2021-08-19T22:07:25Z, 2021-08-19,22:07:25Z,-1, 2021-08-20,0
33548310,1881 in Germany,16509,autoconfirmed,,159055,60,60,4,58528,1566,549,44,10, 2021-08-19T22:10:19Z, 2021-08-19,22:10:19Z,-1, 2021-08-20,0
33550791,1885 in Germany,19353,autoconfirmed,,2196,Fewer than 30 watchers,,0,7531,98,61,18,3, 2021-08-19T22:20:39Z, 2021-08-19,22:20:39Z,-1, 2021-08-20,0
33550976,1886 in Germany,15063,autoconfirmed,,159646,352,41,8,166325,3757,33,12,35, 2021-08-19T22:31:48Z, 2021-08-19,22:31:48Z,-1, 2021-08-20,0
33551155,1887 in Germany,14546,autoconfirmed,,6507,Fewer than 30 watchers,,0,524,47,21,9,7, 2021-08-19T23:41:01Z, 2021-08-19,23:41:01Z,-1, 2021-08-20,0
52103794,1870 in Germany,13023,autoconfirmed,,2124,Fewer than 30 watchers,,0,438,66,16,8,5, 2021-08-19T16:42:31Z, 2021-08-19,16:42:31Z,-1, 2021-08-20,0
52930724,1844 in Germany,6344,autoconfirmed,,14616,Fewer than 30 watchers,,1,3116,1109,8,8,11, 2021-08-19T07:27:10Z, 2021-08-19,07:27:10Z,-1, 2021-08-20,0
58042500,1860 in Germany,5055,autoconfirmed,,141234,375,41,40,21211,3980,46,22,23, 2021-08-19T13:20:02Z, 2021-08-19,13:20:02Z,-1, 2021-08-20,0
58042558,1869 in Germany,5511,autoconfirmed,,5674,Fewer than 30 watchers,,0,21941,55,11,7,3, 2021-08-19T14:47:49Z, 2021-08-19,14:47:49Z,-1, 2021-08-20,0
58101154,1854 in Germany,3354,autoconfirmed,,2861,Fewer than 30 watchers,,0,5909,132,20,11,5, 2021-08-19T11:35:07Z, 2021-08-19,11:35:07Z,-1, 2021-08-20,0
58403664,1862 in Germany,4203,autoconfirmed,,5988,Fewer than 30 watchers,,1,3508,182,49,11,4, 2021-08-19T14:22:18Z, 2021-08-19,14:22:18Z,-1, 2021-08-20,0
61888617,1863 in Germany,2782,autoconfirmed,,10103,Fewer than 30 watchers,,1,51353,572,0,0,6, 2021-08-19T14:40:20Z, 2021-08-19,14:40:20Z,-1, 2021-08-20,0
64550875,1848 in Germany,1006,autoconfirmed,,17866,Fewer than 30 watchers,,0,43121,569,37,17,8, 2021-08-19T11:28:10Z, 2021-08-19,11:28:10Z,-1, 2021-08-20,0
65998770,1855 in Germany,822,autoconfirmed,,5454,Fewer than 30 watchers,,2,9448,161,129,70,4, 2021-08-19T11:37:04Z, 2021-08-19,11:37:04Z,-1, 2021-08-20,0
66003634,1856 in Germany,777,autoconfirmed,,61846,90,35,2,103293,967,22,16,9, 2021-08-19T12:12:33Z, 2021-08-19,12:12:33Z,-1, 2021-08-20,0
66007949,1857 in Germany,641,autoconfirmed,,179883,Fewer than 30 watchers,,0,4285,129,15,10,3, 2021-08-19T12:42:13Z, 2021-08-19,12:42:13Z,-1, 2021-08-20,0
66019212,1858 in Germany,733,autoconfirmed,,49081,175,15,17,7533,1547,32,12,21, 2021-08-19T12:42:18Z, 2021-08-19,12:42:18Z,-1, 2021-08-20,0
66030686,1859 in Germany,512,autoconfirmed,,20924,52,16,3,25403,798,29,14,20, 2021-08-19T12:43:41Z, 2021-08-19,12:43:41Z,-1, 2021-08-20,0
